DATE,TX,TN,TA,PP,SF,SD,PPM,XW,XP
2015-07-01,81,60,62,0.07,0.0,0,-9999,61,6
2015-07-02,75,56,60,0.85,0.0,0,-9999,02,1
2015-07-03,77,51,55,0.00,0.0,0,-9999,01,0
2015-07-04,79,53,56,0.00,0.0,0,-9999,03,2
2015-07-05,71,54,57,0.07,0.0,0,-9999,01,0
2015-07-06,83,57,61,0.00,0.0,0,-9999,02,1
2015-07-07,85,61,65,0.00,0.0,0,-9999,03,2
2015-07-08,83,65,70,0.03,0.0,0,-9999,01,0
2015-07-09,85,58,61,0.00,0.0,0,-9999,03,2
2015-07-10,75,58,61,0.22,0.0,0,-9999,03,8
2015-07-11,79,59,64,0.00,0.0,0,-9999,01,0
2015-07-12,85,62,66,0.00,0.0,0,-9999,02,1
2015-07-13,89,66,67,0.00,0.0,0,-9999,02,1
2015-07-14,80,59,64,0.00,0.0,0,-9999,10,4
2015-07-15,80,64,68,T,0.0,0,-9999,10,4
2015-07-16,85,52,53,0.00,0.0,0,-9999,01,0
2015-07-17,75,49,52,0.00,0.0,0,-9999,01,0
2015-07-18,79,52,63,0.26,0.0,0,-9999,61,6
2015-07-19,77,63,67,0.01,0.0,0,-9999,02,2
2015-07-20,90,66,70,0.00,0.0,0,-9999,01,0
2015-07-21,90,63,66,0.00,0.0,0,-9999,02,1
2015-07-22,85,62,64,0.00,0.0,0,-9999,01,0
2015-07-23,80,56,67,0.00,0.0,0,-9999,01,0
2015-07-24,77,61,63,0.00,0.0,0,-9999,01,0
2015-07-25,77,57,61,T,0.0,0,-9999,03,2
2015-07-26,70,61,62,0.02,0.0,0,-9999,03,8
2015-07-27,76,62,65,0.00,0.0,0,-9999,10,4
2015-07-28,84,65,65,0.00,0.0,0,-9999,03,2
2015-07-29,88,64,66,0.00,0.0,0,-9999,02,1
2015-07-30,90,66,69,0.00,0.0,0,-9999,05,0
2015-07-31,90,64,65,0.23,0.0,0,-9999,01,1
