"STATION","DATE","MLY-PRCP-NORMAL","MLY-SNOW-NORMAL","MLY-TAVG-NORMAL","MLY-TMAX-NORMAL","MLY-TMIN-NORMAL"
"USC00279278","01","    3.02","    17.5","    24.1","    33.5","    14.7"
"USC00279278","02","    3.31","    21.9","    26.5","    36.8","    16.2"
"USC00279278","03","    4.24","    14.3","    34.3","    44.6","    24.0"
"USC00279278","04","    4.12","     2.7","    45.7","    57.4","    34.1"
"USC00279278","05","    4.02","     0.0","    56.1","    67.9","    44.2"
"USC00279278","06","    3.96","     0.0","    65.3","    76.4","    54.3"
"USC00279278","07","    3.60","     0.0","    71.0","    82.0","    60.0"
"USC00279278","08","    3.72","     0.0","    69.1","    80.4","    57.8"
"USC00279278","09","    3.95","     0.0","    61.7","    72.7","    50.7"
"USC00279278","10","    4.86","     0.9","    49.9","    60.6","    39.1"
"USC00279278","11","    3.73","     2.1","    39.6","    49.0","    30.2"
"USC00279278","12","    4.15","    16.1","    29.8","    38.5","    21.2"
